cwe_id,mapping_status
CWE-119,DISCOURAGED
CWE-120,ALLOWED
CWE-125,ALLOWED
CWE-189,PROHIBITED
CWE-190,ALLOWED
CWE-20,DISCOURAGED
CWE-200,DISCOURAGED
CWE-22,ALLOWED
CWE-254,PROHIBITED
CWE-264,PROHIBITED
CWE-269,DISCOURAGED
CWE-284,DISCOURAGED
CWE-287,DISCOURAGED
CWE-295,ALLOWED
CWE-310,PROHIBITED
CWE-320,PROHIBITED
CWE-327,ALLOWED
CWE-347,ALLOWED
CWE-362,ALLOWED
CWE-388,PROHIBITED
CWE-399,PROHIBITED
CWE-415,ALLOWED
CWE-416,ALLOWED
CWE-476,ALLOWED
CWE-617,ALLOWED
CWE-703,DISCOURAGED
CWE-704,ALLOWED
CWE-754,ALLOWED
CWE-770,ALLOWED
CWE-772,ALLOWED
CWE-78,ALLOWED
CWE-787,ALLOWED
CWE-79,ALLOWED
CWE-834,DISCOURAGED
CWE-835,ALLOWED
CWE-862,ALLOWED
CWE-89,ALLOWED
CWE-94,ALLOWED
