CWE_ID,Name,Abstraction,Structure,Status,Mapping_Status,Description
1004,Sensitive Cookie Without 'HttpOnly' Flag,Variant,Simple,Incomplete,Allowed,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag."
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,Base,Simple,Incomplete,Allowed,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action."
102,Struts: Duplicate Validation Forms,Variant,Simple,Incomplete,Allowed,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect."
1021,Improper Restriction of Rendered UI Layers or Frames,Base,Simple,Incomplete,Allowed,The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain.
1022,Use of Web Link to Untrusted Target with window.opener Access,Variant,Simple,Incomplete,Allowed,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property."
1024,Comparison of Incompatible Types,Base,Simple,Incomplete,Allowed,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared."
1025,Comparison Using Wrong Factors,Base,Simple,Incomplete,Allowed,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses."
103,Struts: Incomplete validate() Method Definition,Variant,Simple,Draft,Allowed,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate()."
1037,Processor Optimization Removal or Modification of Security-critical Code,Base,Simple,Incomplete,Allowed,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified."
104,Struts: Form Bean Does Not Extend Validation Class,Variant,Simple,Draft,Allowed,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation."
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,Base,Simple,Incomplete,Allowed,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor."
1046,Creation of Immutable Text Using String Concatenation,Base,Simple,Incomplete,Allowed,The product creates an immutable text string using string concatenation operations.
1049,Excessive Data Query Operations in a Large Data Table,Base,Simple,Incomplete,Allowed,"The product performs a data query with a large number of joins
					and sub-queries on a large data table."
105,Struts: Form Field Without Validator,Variant,Simple,Draft,Allowed,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation."
1050,Excessive Platform Resource Consumption within a Loop,Base,Simple,Incomplete,Allowed,"The product has a loop body or loop condition that contains a control element that directly or
					indirectly consumes platform resources, e.g. messaging, sessions, locks, or file
					descriptors."
1052,Excessive Use of Hard-Coded Literals in Initialization,Base,Simple,Incomplete,Allowed,"The product initializes a data element using a hard-coded
					literal that is not a simple integer or static constant element."
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,Base,Simple,Incomplete,Allowed,"The code contains a function or method that
		 operates in a multi-threaded environment but owns an unsafe non-final
		                     static storable or member data element."
